fecha,producto,udsstock,udsventa,udsprevisionempresa,promo,festivo,stockMissingType,weekday,quarter,month,weekofyear,deltaStock,roll4wd_udsventa,roll4wd_udsstock,roll4wd_udsprevisionempresa
2019-06-08,17,,2359.0,16476.0,1.0,0.0,2.0,5,2,6,23,,2359.0,,16476.0
2019-06-08,18,,180.0,1464.0,0.0,0.0,2.0,5,2,6,23,,180.0,,1464.0
2019-06-08,19,,375.0,3729.0,0.0,0.0,2.0,5,2,6,23,,375.0,,3729.0
2019-06-08,2,,787.0,49121.0,0.0,0.0,2.0,5,2,6,23,,787.0,,49121.0
2019-06-08,20,,,,1.0,0.0,2.0,5,2,6,23,,,,
2019-06-08,21,,1451.0,18135.0,0.0,0.0,2.0,5,2,6,23,,1451.0,,18135.0
2019-06-08,22,,81.0,3781.0,0.0,0.0,2.0,5,2,6,23,,81.0,,3781.0
2019-06-08,23,,,,1.0,0.0,2.0,5,2,6,23,,,,
2019-06-08,24,,1335.0,17365.0,0.0,0.0,2.0,5,2,6,23,,1335.0,,17365.0
2019-06-08,26,,334.0,2830.0,1.0,0.0,2.0,5,2,6,23,,334.0,,2830.0
2019-06-08,28,,,,0.0,0.0,2.0,5,2,6,23,,,,
2019-06-08,29,,82.0,1013.0,0.0,0.0,2.0,5,2,6,23,,82.0,,1013.0
2019-06-08,3,,3306.0,38824.0,1.0,0.0,2.0,5,2,6,23,,3306.0,,38824.0
2019-06-08,30,,295.0,2876.0,0.0,0.0,2.0,5,2,6,23,,295.0,,2876.0
2019-06-08,31,,619.0,2351.0,0.0,0.0,2.0,5,2,6,23,,619.0,,2351.0
2019-06-08,32,,275.0,3572.0,0.0,0.0,2.0,5,2,6,23,,275.0,,3572.0
2019-06-08,35,,629.0,4315.0,0.0,0.0,2.0,5,2,6,23,,629.0,,4315.0
2019-06-08,36,,73.0,1811.0,1.0,0.0,2.0,5,2,6,23,,73.0,,1811.0
2019-06-08,37,,,,0.0,0.0,2.0,5,2,6,23,,,,
2019-06-08,38,,103.0,2479.0,1.0,0.0,2.0,5,2,6,23,,103.0,,2479.0
2019-06-08,4,,2361.0,43453.0,0.0,0.0,2.0,5,2,6,23,,2361.0,,43453.0
2019-06-08,40,,287.0,2799.0,1.0,0.0,2.0,5,2,6,23,,287.0,,2799.0
2019-06-08,42,,553.0,5558.0,0.0,0.0,2.0,5,2,6,23,,553.0,,5558.0
2019-06-08,43,,151.0,1494.0,0.0,0.0,2.0,5,2,6,23,,151.0,,1494.0
