fecha,y_pred,y_real,type,producto,modelo,stockmin,stockmean,stockmax,udsventa,udsstock,precio
2019-07-03,22.465,26.0,ALL,89,ALL,,,,0.0,32,5.37
2019-07-11,17.155,19.0,ALL,89,ALL,,,,0.0,24,5.37
2019-07-12,30.59,26.0,ALL,89,ALL,,,,0.0,32,5.37
2019-07-15,353.87,337.0,ALL,89,ALL,,,,0.0,418,5.37
2019-07-16,288.55,260.0,ALL,89,ALL,,,,0.0,322,5.37
2019-07-18,24.74,26.0,ALL,89,ALL,,,,0.0,32,5.37
2019-07-23,41.63,18.0,ALL,89,ALL,,,,0.0,22,5.37
2019-07-24,27.89,26.0,ALL,89,ALL,,,,0.0,32,5.37
2019-07-25,42.085,47.0,ALL,89,ALL,,,,0.0,58,5.37
2019-07-26,35.73,34.0,ALL,89,ALL,,,,0.0,42,5.37
2019-07-30,49.33,26.0,ALL,89,ALL,,,,0.0,32,5.37
2019-07-31,41.26,37.0,ALL,89,ALL,,,,0.0,46,5.37
2019-08-01,142.645,197.0,ALL,89,ALL,,,,0.0,244,5.37
2019-08-03,223.075,244.0,ALL,89,ALL,,,,0.0,302,5.37
2019-08-07,38.29,34.0,ALL,89,ALL,,,,0.0,42,5.37
2019-08-13,74.21,95.0,ALL,89,ALL,,,,0.0,118,5.37
2019-08-16,207.56,194.0,ALL,89,ALL,,,,0.0,240,5.37
2019-08-17,231.455,208.0,ALL,89,ALL,,,,0.0,258,5.37
2019-08-19,216.675,208.0,ALL,89,ALL,,,,0.0,258,5.37
2019-08-22,70.55,30.0,ALL,89,ALL,,,,0.0,38,5.37
2019-08-23,87.86,74.0,ALL,89,ALL,,,,0.0,92,5.37
2019-09-10,37.025,34.0,ALL,89,ALL,,,,0.0,42,5.37
2019-09-14,493.82,486.0,ALL,89,ALL,,,,0.0,602,5.37
2019-09-18,27.76,21.0,ALL,89,ALL,,,,0.0,26,5.37
2019-09-20,12.465,13.0,ALL,89,ALL,,,,0.0,16,5.37
2019-09-21,170.305,18.0,ALL,89,ALL,,,,0.0,22,5.37
2019-09-23,19.89,18.0,ALL,89,ALL,,,,0.0,22,5.37
2019-09-24,35.705,40.0,ALL,89,ALL,,,,0.0,50,5.37
2019-09-26,42.63,40.0,ALL,89,ALL,,,,0.0,50,5.37
2019-09-27,8.565,3.0,ALL,89,ALL,,,,0.0,4,5.37
2019-09-28,70.855,3.0,ALL,89,ALL,,,,0.0,4,5.37
2019-09-30,7.125,3.0,ALL,89,ALL,,,,0.0,4,5.37
2019-10-01,18.325,6.0,ALL,89,ALL,,,,0.0,8,5.37
2019-10-02,28.73,16.0,ALL,89,ALL,,,,0.0,20,5.37
2019-10-03,50.255,69.0,ALL,89,ALL,,,,0.0,86,5.37
2019-10-04,18.585,26.0,ALL,89,ALL,,,,0.0,32,5.37
2019-10-08,27.0,3.0,ALL,89,ALL,,,,0.0,4,5.37
2019-10-09,43.575,51.0,ALL,89,ALL,,,,0.0,64,5.37
2019-10-10,51.11,26.0,ALL,89,ALL,,,,0.0,32,5.37
2019-10-11,30.715,48.0,ALL,89,ALL,,,,0.0,60,5.37
2019-10-14,106.655,255.0,ALL,89,ALL,,,,0.0,316,5.37
2019-10-15,65.045,208.0,ALL,89,ALL,,,,0.0,258,5.37
2019-10-16,49.53,77.0,ALL,89,ALL,,,,0.0,96,5.37
2019-10-19,17.395,22.0,ALL,89,ALL,,,,0.0,28,5.37
2019-10-21,180.885,22.0,ALL,89,ALL,,,,0.0,28,5.37
2019-10-22,219.23,1163.0,ALL,89,ALL,,,,0.0,1440,5.37
2019-10-23,296.445,510.0,ALL,89,ALL,,,,0.0,632,5.37
2019-10-24,66.77,103.0,ALL,89,ALL,,,,0.0,128,5.37
2019-10-29,492.515,13.0,ALL,89,ALL,,,,0.0,16,5.37
2019-10-31,99.965,39.0,ALL,89,ALL,,,,0.0,48,5.37
2019-11-05,383.21,32.0,ALL,89,ALL,,,,0.0,40,5.37
2019-11-08,61.735,21.0,ALL,89,ALL,,,,0.0,26,5.37
2019-11-09,25.55,21.0,ALL,89,ALL,,,,0.0,26,5.37
2019-11-13,234.545,26.0,ALL,89,ALL,,,,0.0,32,5.37
2019-11-14,40.195,39.0,ALL,89,ALL,,,,0.0,48,5.37
2019-11-15,21.9,24.0,ALL,89,ALL,,,,0.0,30,5.37
2019-11-16,22.625,11.0,ALL,89,ALL,,,,0.0,14,5.37
2019-11-18,9.695,11.0,ALL,89,ALL,,,,0.0,14,5.37
2019-11-19,28.45,69.0,ALL,89,ALL,,,,0.0,86,5.37
2019-11-20,20.155,13.0,ALL,89,ALL,,,,0.0,16,5.37
2019-11-21,39.67,48.0,ALL,89,ALL,,,,0.0,60,5.37
2019-11-22,369.57,840.0,ALL,89,ALL,,,,0.0,1040,5.37
2019-11-23,24.525,42.0,ALL,89,ALL,,,,0.0,52,5.37
2019-11-25,33.53,42.0,ALL,89,ALL,,,,0.0,52,5.37
2019-11-26,56.735,22.0,ALL,89,ALL,,,,0.0,28,5.37
2019-11-28,64.665,37.0,ALL,89,ALL,,,,0.0,46,5.37
2019-11-29,218.28,61.0,ALL,89,ALL,,,,0.0,76,5.37
2019-11-30,46.805,34.0,ALL,89,ALL,,,,0.0,42,5.37
2019-12-02,41.98,34.0,ALL,89,ALL,,,,0.0,42,5.37
2019-12-03,53.935,19.0,ALL,89,ALL,,,,0.0,24,5.37
2019-12-04,45.665,68.0,ALL,89,ALL,,,,0.0,84,5.37
2019-12-07,41.98,30.0,ALL,89,ALL,,,,0.0,38,5.37
2019-12-12,52.415,34.0,ALL,89,ALL,,,,0.0,42,5.37
2019-12-14,55.575,14.0,ALL,89,ALL,,,,0.0,18,5.37
2019-12-16,36.66,14.0,ALL,89,ALL,,,,0.0,18,5.37
2019-12-17,16.49,27.0,ALL,89,ALL,,,,0.0,34,5.37
2019-12-18,66.98,34.0,ALL,89,ALL,,,,0.0,42,5.37
2019-12-19,43.47,35.0,ALL,89,ALL,,,,0.0,44,5.37
2019-12-20,124.78,39.0,ALL,89,ALL,,,,0.0,48,5.37
2019-12-21,17.445,3.0,ALL,89,ALL,,,,0.0,4,5.37
2019-12-26,42.53,26.0,ALL,89,ALL,,,,0.0,32,5.37
