producto,fecha,udsprevisionempresa
36,2019-03-08,8874
49,2019-03-08,11727
7,2019-03-08,21018
42,2019-03-08,16691
35,2019-03-08,22820
69,2019-03-08,16634
44,2019-03-08,10737
16,2019-03-08,24479
92,2019-03-08,20191
66,2019-03-08,10236
37,2019-03-08,2487
10,2019-03-08,26813
47,2019-03-08,11880
43,2019-03-08,13029
57,2019-03-08,9967
14,2019-03-08,29081
84,2019-03-08,3162
94,2019-03-08,4891
24,2019-03-08,20234
38,2019-03-08,7911
71,2019-03-08,8768
52,2019-03-08,8489
72,2019-03-08,5520
7,2019-03-09,23301
50,2019-03-09,2686
4,2019-03-09,47704
1,2019-03-09,100745
15,2019-03-09,14169
11,2019-03-09,17192
21,2019-03-09,11768
59,2019-03-09,758
54,2019-03-09,2
76,2019-03-09,3798
9,2019-03-09,43500
17,2019-03-09,1691
38,2019-03-09,2585
5,2019-03-09,20383
36,2019-03-09,1405
61,2019-03-09,4
22,2019-03-09,2430
74,2019-03-09,162
49,2019-03-09,6418
68,2019-03-09,498
44,2019-03-09,9
24,2019-03-09,13639
72,2019-03-09,4388
98,2019-03-09,177
53,2019-03-09,4537
70,2019-03-09,388
3,2019-03-09,29614
60,2019-03-09,1245
96,2019-03-09,179
77,2019-03-09,413
67,2019-03-09,214
2,2019-03-09,63479
97,2019-03-09,329
26,2019-03-09,1780
45,2019-03-10,157
73,2019-03-10,2
29,2019-03-10,132
57,2019-03-10,2
20,2019-03-11,11979
50,2019-03-11,4389
62,2019-03-11,3407
71,2019-03-11,3502
67,2019-03-11,5447
17,2019-03-11,4713
76,2019-03-11,1972
4,2019-03-11,18892
5,2019-03-11,17598
7,2019-03-11,11335
33,2019-03-11,8049
9,2019-03-11,5667
69,2019-03-11,4551
53,2019-03-11,4969
23,2019-03-11,10863
52,2019-03-11,3022
89,2019-03-11,2179
15,2019-03-11,5951
26,2019-03-11,6316
88,2019-03-11,2203
12,2019-03-11,9751
91,2019-03-11,2018
47,2019-03-11,5440
29,2019-03-11,7192
14,2019-03-11,8431
94,2019-03-11,2967
40,2019-03-11,5092
43,2019-03-11,4704
22,2019-03-11,4628
72,2019-03-11,2435
46,2019-03-11,5258
83,2019-03-11,1584
37,2019-03-11,666
32,2019-03-11,6182
44,2019-03-11,7257
99,2019-03-11,3453
82,2019-03-11,2519
38,2019-03-11,4065
77,2019-03-11,1558
31,2019-03-11,6221
30,2019-03-11,5143
28,2019-03-11,4587
34,2019-03-11,2833
63,2019-03-11,4202
21,2019-03-11,4698
98,2019-03-11,2269
73,2019-03-11,4296
68,2019-03-11,2552
78,2019-03-11,2482
57,2019-03-11,6134
59,2019-03-11,2746
61,2019-03-11,4348
70,2019-03-11,4206
36,2019-03-11,5141
79,2019-03-11,3028
11,2019-03-11,14547
96,2019-03-11,2152
95,2019-03-11,2732
87,2019-03-11,3510
84,2019-03-11,1591
48,2019-03-11,4315
24,2019-03-11,10210
42,2019-03-11,4551
54,2019-03-11,5214
2,2019-03-11,14248
19,2019-03-11,7505
58,2019-03-11,186
35,2019-03-11,6428
55,2019-03-11,3963
75,2019-03-11,2293
18,2019-03-11,7608
1,2019-03-11,70139
10,2019-03-11,6287
66,2019-03-11,3393
49,2019-03-11,5848
64,2019-03-11,3670
45,2019-03-11,4587
13,2019-03-11,8358
3,2019-03-11,19554
85,2019-03-11,1531
97,2019-03-11,2519
80,2019-03-11,3778
60,2019-03-11,2012
16,2019-03-11,8934
