fecha,producto,udsventa
2015-07-21,61,477
2015-07-21,12,4664
2015-07-21,94,356
2015-07-21,78,715
2015-07-21,98,227
2015-07-21,63,1357
2015-07-21,1,4959
2015-07-21,99,246
2015-07-21,89,381
2015-07-21,29,1544
2015-07-21,62,1416
2015-07-21,75,2184
2015-07-21,26,797
2015-07-21,64,648
2015-07-21,17,861
2015-07-21,73,574
2015-07-21,40,2892
2015-07-21,59,579
2015-07-21,57,731
2015-07-21,9,3542
2015-07-21,23,977
2015-07-21,36,773
2015-07-21,97,174
2015-07-21,67,517
2015-07-21,14,2829
2015-07-21,74,268
2015-07-21,46,1328
2015-07-21,33,2036
2015-07-21,60,218
2015-07-21,13,2007
2015-07-21,5,5232
2015-07-21,15,708
2015-07-21,10,2627
2015-07-21,16,2792
2015-07-21,22,891
2015-07-21,4,649
2015-07-21,7,1180
2015-07-21,49,541
2015-07-21,50,804
2015-07-21,82,857
2015-07-21,70,268
2015-07-21,34,277
2015-07-21,48,1899
2015-07-21,38,836
2015-07-21,80,492
2015-07-21,96,209
2015-07-22,73,640
2015-07-22,50,787
2015-07-22,57,1259
2015-07-22,23,1899
2015-07-22,36,841
2015-07-22,22,1586
2015-07-22,70,511
2015-07-22,33,4841
2015-07-22,98,381
2015-07-22,18,1972
2015-07-22,71,863
2015-07-22,12,2602
2015-07-22,62,920
2015-07-22,63,841
2015-07-22,17,1778
2015-07-22,94,453
2015-07-22,80,1230
2015-07-22,7,2361
2015-07-22,72,270
2015-07-22,46,924
2015-07-22,96,344
2015-07-22,21,1180
2015-07-22,53,2036
2015-07-22,61,851
2015-07-22,30,2206
2015-07-22,54,1138
2015-07-22,42,1362
2015-07-22,91,425
2015-07-22,16,3979
2015-07-22,64,794
2015-07-22,24,1677
2015-07-22,78,479
2015-07-22,87,286
2015-07-22,1,9918
2015-07-22,99,393
2015-07-22,79,1046
2015-07-22,55,1033
2015-07-22,19,1756
