"Producto";"fecha";"udsPrevisionEmpresa"
"60";"2019-04-06";"1416,9600"
"63";"2019-06-20";"3109,9320"
"79";"2019-08-10";"18,6960"
"77";"2019-09-05";"340,7100"
"50";"2019-10-14";"4744,1100"
"96";"2019-11-10";"1,2300"
"53";"2020-01-20";"3852,3600"
"89";"2020-02-27";"1011,0600"
"23";"2020-03-07";"55,1040"
"52";"2019-03-13";"3582,7440"
"20";"2019-05-22";"28509,4320"
"26";"2019-08-09";"632,7120"
"14";"2019-04-02";"18662,5440"
"78";"2019-04-22";"5436,6000"
"45";"2019-06-04";"9089,9460"
"95";"2019-09-21";",9840"
"52";"2019-09-15";"10,3320"
"78";"2019-10-25";"2478,2040"
"76";"2019-11-20";"1062,7200"
"37";"2019-12-06";"1291,5000"
"49";"2019-03-18";"2805,1380"
"42";"2019-09-20";"884,1240"
"30";"2019-05-14";"10656,7200"
"21";"2019-10-25";"9111,8400"
"94";"2019-12-06";"2370,2100"
"10";"2020-01-20";"12988,8000"
"98";"2020-03-23";"1174,1580"
"67";"2019-04-03";"11874,9120"
"71";"2019-07-17";"237,6360"
"24";"2019-09-04";"2607,1080"
"60";"2019-10-09";"1692,7260"
"68";"2019-10-30";"2140,4460"
"29";"2019-11-15";"10393,5000"
"15";"2020-02-12";"4534,2720"
"36";"2020-02-26";"3263,1900"
"9";"2019-05-03";"16373,7600"
"16";"2019-08-14";"4836,1140"
"97";"2019-08-26";"1402,2000"
"20";"2019-12-17";"7135,2300"
"77";"2019-03-06";"2054,1000"
"26";"2020-03-02";"9692,8920"
"49";"2019-03-15";"2240,5680"
"19";"2019-05-01";"23596,3200"
"94";"2019-05-14";"2161,3560"
"85";"2019-09-26";"1107,9840"
"14";"2019-10-02";"6315,8040"
"3";"2019-10-09";"28433,6640"
"72";"2020-02-12";"3985,2000"
"15";"2020-02-15";"4534,2720"
"42";"2019-03-18";"2562,3360"
"55";"2019-05-07";"7375,0800"
"61";"2019-07-22";"706,0200"
"3";"2019-09-16";"2739,4560"
"72";"2020-03-06";"5234,8800"
"95";"2019-03-19";"1496,9100"
"37";"2019-05-14";"1963,0800"
"43";"2019-07-29";"736,2780"
"55";"2019-12-05";"7173,3600"
"84";"2019-12-14";"183,0240"
"20";"2020-01-12";"4,9200"
"26";"2020-02-08";"2847,4500"
"70";"2019-03-09";"388,6800"
"61";"2020-02-19";"3917,3040"
"18";"2019-07-19";"2697,6360"
"97";"2019-08-20";"1173,4200"
"49";"2019-09-20";"1314,8700"
"9";"2019-12-21";"10233,6000"
"84";"2020-01-09";"777,3600"
"97";"2020-02-22";"114,1440"
"21";"2019-03-27";"22632,0000"
"2";"2019-05-06";"35424,0000"
"44";"2019-08-19";"4469,8200"
"57";"2019-10-31";"425,0880"
"45";"2020-01-02";"6295,1400"
"24";"2019-03-05";"14320,8900"
"30";"2019-11-19";"3046,4640"
"19";"2019-11-26";"7746,5400"
"87";"2020-03-21";"1,9680"
"3";"2019-03-14";"7368,1920"
"7";"2019-06-27";"5904,0000"
"54";"2019-07-25";"1896,6600"
"15";"2019-08-13";"1889,2800"
"88";"2019-09-24";"385,2360"
"30";"2019-12-12";"1613,7600"
"79";"2020-03-03";"3501,0720"
"76";"2019-05-18";"5121,7200"
"94";"2019-06-06";"4594,5420"
"18";"2019-07-13";"312,1740"
"67";"2019-10-03";"1695,9240"
"85";"2019-10-22";"639,6000"
"99";"2020-01-24";"3232,4400"
"77";"2019-02-28";"1213,2720"
"60";"2019-03-14";"844,7640"
"98";"2019-03-17";",7380"
"32";"2019-03-23";"1107,0000"
"66";"2019-05-29";"10116,5040"
"31";"2019-09-24";"1039,1040"
"14";"2019-10-08";"12128,7840"
"75";"2019-11-19";"2001,4560"
"76";"2019-12-16";",0000"
"89";"2020-02-04";"1135,0440"
"67";"2019-03-11";"5447,9160"
"73";"2019-05-26";"2,2140"
"2";"2019-06-01";"69273,6000"
"69";"2019-09-04";"625,8240"
"83";"2019-12-13";"316,8480"
"38";"2020-01-05";",0000"
"87";"2020-03-27";"635,4180"
"78";"2019-03-27";"4707,9480"
"84";"2019-06-11";"1861,7280"
"77";"2019-09-28";"292,2480"
"32";"2019-10-21";"1576,3680"
"12";"2019-11-29";"15002,0640"
"43";"2020-01-31";"2391,1200"
"40";"2019-04-16";"25328,1600"
"72";"2019-10-29";"4054,0800"
"97";"2019-12-04";"2483,1240"
"67";"2020-01-20";"5382,4800"
"43";"2019-03-22";"14427,1620"
"36";"2019-04-17";"21241,1160"
"85";"2019-07-05";"935,2920"
"55";"2019-08-21";"4039,3200"
"48";"2019-09-16";"526,9320"
"97";"2019-11-11";"2597,7600"
"42";"2020-01-07";"1647,2160"
"3";"2020-01-23";"22671,3600"
"82";"2019-03-29";"20467,2000"
"78";"2019-07-08";"339,2340"
"94";"2019-08-28";"334,0680"
"55";"2019-09-13";"2794,5600"
"15";"2019-10-29";"5289,9840"
"79";"2019-11-18";"3158,6400"
"21";"2020-01-16";"4723,2000"
"85";"2020-02-05";"1331,3520"
"18";"2019-04-01";"23959,9080"
"67";"2019-06-19";"5329,5900"
"9";"2019-08-17";"13776,0000"
"94";"2019-09-20";"438,3720"
"73";"2019-09-06";"1207,3680"
"79";"2019-10-26";"183,0240"
"44";"2019-12-03";",0000"
"60";"2020-01-23";"1442,5440"
"91";"2020-03-26";"272,0760"
"36";"2019-03-25";"10205,0640"
"61";"2019-04-30";"5926,1400"
"48";"2019-08-24";"1287,0720"
"9";"2019-09-09";"2204,1600"
"73";"2019-09-29";"7,3800"
"61";"2019-11-02";"448,7040"
"79";"2019-04-23";"3198,0000"
"12";"2019-08-15";"4197,7440"
"71";"2019-04-02";"6386,4060"
"3";"2019-06-22";"19837,4400"
"2";"2019-08-20";"12988,8000"
"12";"2019-09-07";"562,8480"
"85";"2020-01-30";"795,0720"
"14";"2020-02-11";"9114,3000"
"55";"2020-03-17";"3001,2000"
"89";"2019-03-26";"2760,3660"
"97";"2019-05-09";"3191,1120"
"67";"2019-06-25";"3193,8180"
"2";"2019-09-12";"5825,2800"
"43";"2019-10-17";"8352,6840"
"72";"2019-11-21";"4339,4400"
"32";"2020-02-04";"1613,7600"
"89";"2019-04-18";"7741,8660"
"60";"2019-06-22";"894,4560"
"37";"2019-01-31";"1312,6560"
"20";"2019-09-05";"1024,0980"
"33";"2019-11-20";",0000"
"67";"2020-01-14";"1028,0340"
"50";"2020-01-28";"2123,9640"
"66";"2019-03-07";"7677,1680"
"11";"2020-02-13";"16972,0320"
"28";"2019-03-04";"6706,9440"
"77";"2019-05-22";"3791,8440"
